accuracy,brier_sum,cohort,condition,ece_10_equal_bins,examples_per_second,forced_close_fraction,latency_p50_seconds,latency_p95_seconds,macro_f1,max_peak_allocated_bytes,mean_reasoning_tokens,n,natural_close_fraction,nll,prediction_counts,probability_metric_scope,slice,valid_fraction
0.5074626865671642,0.9829704617914988,pilot,A-ref,0.4917047824432601,28.828120003580725,0.0,0.03425377000166918,0.04244453670034998,0.22442244224422445,1259136512,0.0,67,0.0,3.972851018408687,"{'True': 67, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",depth_5,1.0
1.0,5.661997006957233e-06,pilot,A-ref,0.0004459196951851485,29.696437657842747,0.0,0.032829153000420774,0.03904835649973389,0.3333333333333333,1259654656,0.0,134,0.0,0.0004474709701306806,"{'True': 134, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",class_True,1.0
0.0,1.9907496994931426,pilot,A-ref,0.995716082870512,29.47076726749411,0.0,0.033108176998212,0.04132791839947454,0.0,1260172800,0.0,133,0.0,8.01299140031961,"{'True': 133, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",class_False,1.0
0.007518796992481203,1.9476485902457819,pilot,A-ref,0.984372631947797,30.21034311180211,0.0,0.0321097500018368,0.03660977340041427,0.004975124378109453,1260172800,0.0,133,0.0,8.41822816319845,"{'True': 132, 'False': 0, 'Unknown': 1, None: 0}","all restricted slot distributions, including invalid public readouts",class_Unknown,1.0
0.3394495412844037,1.3038090433486713,pilot,A-ref,0.6551223588646006,31.130173180558995,0.0,0.031864912998571526,0.03360064119842718,0.16894977168949774,1245372928,0.0,109,0.0,5.197019002950073,"{'True': 109, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",family_AttNeg,1.0
0.3434343434343434,1.2781816443258034,pilot,A-ref,0.6491244898902045,31.244458990427866,0.0,0.031524838999757776,0.034099048398275045,0.1875467744349648,1246100992,0.0,99,0.0,4.620227842235111,"{'True': 98, 'False': 0, 'Unknown': 1, None: 0}","all restricted slot distributions, including invalid public readouts",family_AttNoneg,1.0
0.3333333333333333,1.3302711425464333,pilot,A-ref,0.6655319531758626,27.823229373715893,0.0,0.03517851299875474,0.04577930400046171,0.16666666666666666,1260172800,0.0,96,0.0,6.048014822021606,"{'True': 96, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",family_RelNeg,1.0
0.3333333333333333,1.3275680525537341,pilot,A-ref,0.6638470490773518,29.025857149042743,0.0,0.03475686149977264,0.03678943174872984,0.16666666666666666,1258359296,0.0,96,0.0,6.051303254593651,"{'True': 96, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",family_RelNoneg,1.0
0.335,1.3234051885115405,pilot,B,0.6628760477900505,29.02934200500845,0.0,0.03338992200042412,0.04532083710128063,0.16729088639200998,1262115328,0.0,400,0.0,5.979217370903107,"{'True': 400, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",all,1.0
0.5037593984962406,0.9912997066108539,pilot,B,0.4956234662156356,28.338074137174164,0.0,0.03427158599879476,0.04586065700059407,0.22333333333333336,1262115328,0.0,133,0.0,4.79091553533904,"{'True': 133, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",deep,1.0
0.5074626865671642,0.9836803034983168,pilot,B,0.4911418405931387,29.567792675764757,0.0,0.03311221599869896,0.041702580501805614,0.22442244224422445,1261338112,0.0,67,0.0,4.61685053215453,"{'True': 67, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",shallow,1.0
0.0,1.9831352445265473,pilot,B,0.995486308757524,29.455036218875627,0.0,0.03254653299882193,0.04494048560081865,0.0,1262115328,0.0,133,0.0,8.430556216592139,"{'True': 133, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",unknown,1.0
0.5,0.998214555419411,pilot,B,0.49772836004986487,29.729177345734808,0.0,0.03274942350071797,0.03927823759895544,0.2222222222222222,1260172800,0.0,34,0.0,4.761035678640379,"{'True': 34, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",depth_0,1.0
0.5151515151515151,0.9687056197008261,pilot,B,0.484355729637724,29.403339967793745,0.0,0.03327835699747084,0.039150397402408985,0.22666666666666668,1261338112,0.0,33,0.0,4.4682961388054725,"{'True': 33, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",depth_1,1.0
0.4925373134328358,1.012770844312759,pilot,B,0.5063629212664135,29.073633990387442,0.0,0.03350190699711675,0.04450387590077298,0.22,1261597184,0.0,67,0.0,4.834361488060344,"{'True': 67, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",depth_2,1.0
0.5,0.9989535364669951,pilot,B,0.4994528284578612,28.577027132575854,0.0,0.03373882300002151,0.04591483600142965,0.2222222222222222,1262115328,0.0,66,0.0,4.890463776474057,"{'True': 66, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",depth_3,1.0
0.5074626865671642,0.9837601130212227,pilot,B,0.4918512586337417,28.106562779104983,0.0,0.03452774800098268,0.04560815769909823,0.22442244224422445,1261079040,0.0,67,0.0,4.692853088847828,"{'True': 67, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",depth_5,1.0
1.0,2.7021073121905545e-05,pilot,B,0.00046327710151672363,29.0000971306474,0.0,0.03372758099976636,0.0454112602988971,0.3333333333333333,1261597184,0.0,134,0.0,0.00047035439402391574,"{'True': 134, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",class_True,1.0
0.0,1.997003511720205,pilot,B,0.9985926254351336,28.64446586112504,0.0,0.03375198499998078,0.04533759560290491,0.0,1262115328,0.0,133,0.0,9.5515785268097,"{'True': 133, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",class_False,1.0
0.0,1.9831352445265473,pilot,B,0.995486308757524,29.455036218875627,0.0,0.03254653299882193,0.04494048560081865,0.0,1262115328,0.0,133,0.0,8.430556216592139,"{'True': 133, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",class_Unknown,1.0
0.3394495412844037,1.3139459476647306,pilot,B,0.6584529543141707,30.874397368392877,0.0,0.032068808999611065,0.034140463398944124,0.16894977168949774,1247198720,0.0,109,0.0,5.7365349750126065,"{'True': 109, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",family_AttNeg,1.0
0.3333333333333333,1.3170302530719902,pilot,B,0.6618108406211392,30.812010115915125,0.0,0.03224253600274096,0.03453592939913506,0.16666666666666666,1247951360,0.0,99,0.0,5.363294532670161,"{'True': 99, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",family_AttNoneg,1.0
